Time,Humidity,Temprature,HI,Lux
13:16,62.6,25.2,25.41,23.0
13:21,62.1,25.3,25.51,24.0
13:26,62.3,25.3,25.51,24.0
13:31,62.6,25.3,25.52,25.0
13:36,61.6,25.3,25.49,23.0
13:41,62.5,25.3,25.52,27.0
13:46,62.9,25.3,25.53,24.0
13:51,62.1,25.2,25.4,22.0
13:56,63.4,25.3,25.54,21.0
14:01,63.7,25.4,25.66,22.0
14:06,64.0,25.4,25.67,25.0
14:11,63.1,25.3,25.53,25.0
14:16,62.0,25.3,25.5,25.0
14:21,61.6,25.3,25.49,24.0
14:26,63.5,25.3,25.54,21.0
14:31,64.9,25.5,25.8,19.0
14:36,65.7,25.7,26.04,20.0
14:41,65.9,25.8,26.9,21.0
